,latitude,longitude,site_latitude,site_longitude,eventName,stateName,countyName,hwm_id,hwm_locationdescription,elev_ft,height_above_gnd,hwm_environment,zip,height_above_gnd_decile_by_eventName,height_above_gnd_scaled_by_eventName,elev_ft_decile_by_eventName,height_above_gnd_decile_by_zip,height_above_gnd_mean_by_zip
0,28.5864,-80.6597,28.5864,-80.6597,FEMA 2013 exercise,FL,Brevard County,4039,,7.53,3.0,Coastal,0.0,4,0.0,0,6,1.365909090909091
1,28.4282,-80.6984,28.4282,-80.6984,FEMA 2013 exercise,FL,Brevard County,4040,,7.64,2.0,Coastal,32953.0,2,-0.5,1,,2.0
2,28.2771,-80.697,28.2771,-80.697,FEMA 2013 exercise,FL,Brevard County,4041,,7.79,1.0,Coastal,32955.0,0,-1.0,3,,1.0
3,28.1474,-80.5918,28.1474,-80.5918,FEMA 2013 exercise,FL,Brevard County,4042,,9.614,1.0,Coastal,32937.0,0,-1.0,8,,1.0
4,28.1538,-80.6539,28.1538,-80.6539,FEMA 2013 exercise,FL,Brevard County,4043,,9.383,2.0,Coastal,32935.0,2,-0.5,7,,2.0
5,28.62375,-80.7958,28.62375,-80.7958,FEMA 2013 exercise,FL,Brevard County,4044,Vegetation line on fence by Subway restaurant on Main Street.,8.9,6.0,Coastal,32796.0,6,1.5,4,,6.0
6,28.62375,-80.7958,28.62375,-80.7958,FEMA 2013 exercise,FL,Brevard County,4045,Vegetation line on fence by Subway restaurant on Main Street.,8.9,6.0,Coastal,32796.0,6,1.5,4,,6.0
270,38.91736,-75.94789,38.91736,-75.94789,Irene,MD,Talbot County,14699,"HWM-MD-HB-RB-1; Debris remnants in telephone pole (C+P MD Pole 225) on rt overbank Tuckahoe Crk;
Horizontal Collection Method unknown",7.324,3.6,Riverine,21629.0,5,0.06294679948707646,0,8,1.7125
271,38.91736,-75.94789,38.91736,-75.94789,Irene,MD,Talbot County,14700,"HWM-MD-HB-RB-1a; Black sharpie line; horizontal collection method unknown; mud line on metal support of chain link fence, 6 ft adjacent to HWM RB-1 at gate to wareyard",7.522,3.8,Riverine,21629.0,5,0.15024871578504007,0,9,1.7125
272,38.91758,-75.94847,38.91736,-75.94789,Irene,MD,Talbot County,14701,HWM-MD-HB-RB-2; black sharpie line; horizontal datum unknown; mud line on front left corner of cinder block building along Main St (MD Truck Sales + Salvage),7.522,2.5,Riverine,21629.0,3,-0.417213740151724,0,7,1.7125
273,38.91736,-75.94606,38.91736,-75.94606,Irene,MD,Caroline County,14702,"HWM-MD-HB-LB-1; washline on upstream side of road embankment on Main St., 10 ft landward of left upstream bridge parapet; vertical collection method unknown",6.707000000000002,0.0,Riverine,21629.0,0,-1.5084876938762704,0,0,1.7125
274,38.91758,-75.94596999999997,38.91758,-75.94596999999997,Irene,MD,Caroline County,14703,"HWM-MD-HB-LB-2; mud line on downstream side of power pole (#14, DP + L) on upstream road embankment; vertical collection method unknown",7.4689999999999985,0.7,Riverine,21629.0,1,-1.2029309868333975,0,1,1.7125
275,38.91717,-75.94494,38.91717,-75.94494,Irene,MD,Caroline County,14704,HWM-MD-HB-LB-3; seed/mud line on metal pole on right side of entrance to Hillsboro Boat Ramp; black sharpie line; vertical collection method unknown,6.689,1.0,Riverine,21629.0,1,-1.0719781123864518,0,4,1.7125
276,38.91717,-75.94494,38.91717,-75.94494,Irene,MD,Caroline County,14705,HWM-MD-HB-LB-4; Good seed/debris line on 1st wooden post at bottom left side of entrance to Hillsboro Boat Ramp; vertical collection method unknown,6.715,1.2,Riverine,21629.0,1,-0.9846761960884882,0,5,1.7125
277,38.69486,-75.77303,38.69486,-75.77303,Irene,MD,Caroline County,14706,"HWM-MD-FB-RB-1; mud line on rear of metal sign on right overbank, 130 ft upstream of bridge on Central Avenue East; black sharpie line",6.875,2.7,Riverine,21632.0,4,-0.3299118238537602,0,6,1.830769230769231
278,38.69729,-75.77516999999997,38.69729,-75.77516999999997,Irene,MD,Caroline County,14707,HWM-MD-FB-RB-2; seed/debris line on rear of 3rd wooden post at gravel path/exit from Union United Baptist Church on right overbank,7.159,1.0,Riverine,21632.0,1,-1.0719781123864518,0,1,1.830769230769231
279,38.69922,-75.775,38.69922,-75.775,Irene,MD,Caroline County,14708,"HWM-MD-FB-RB-3; debris remnants on left, DS guardrail of 2nd wooden foot bridge",7.416,4.2,Riverine,21632.0,6,0.32485254838096767,0,8,1.830769230769231
280,38.69300000000001,-75.77242,38.69922,-75.775,Irene,MD,Caroline County,14709,"HWM-MD-FB-RB-4; mud line on DS side of white pole of bird house, 25 ft from waters edge and 400 ft DS of Central Ave. East bridge; Marker unknown",6.0139999999999985,3.5,Riverine,21632.0,5,0.019295841338094567,0,8,1.830769230769231
281,38.68808,-75.7705,38.68808,-75.7705,Irene,MD,Caroline County,14710,HWM-MD-FB-RB-5; debris/seed line on 8th wooden pile on right side of boat ramp at Federalsburg Recreation Park and Marina,4.085,1.0,Riverine,21632.0,1,-1.0719781123864518,0,1,1.830769230769231
282,38.68889,-75.77133,38.68808,-75.7705,Irene,MD,Caroline County,14872,HWM-MD-FB-RB-6; debris/seed line on US side of 5th wooden support (moving landward) on picnic pavilion located closest to stream; black sharpie line; horizontal location method unknown,6.332999999999998,2.9,Riverine,21632.0,4,-0.24260990755579662,0,7,1.830769230769231
283,38.69039,-75.77125,38.68808,-75.7705,Irene,MD,Caroline County,14881,"HWM-MD-FB-RB-7; seed line on DS side of power pole (DP+L, pole 8E) on right overbank, just DS of railroad bridge, at US end of Rec Park; horizontal collection method unknown",6.349,2.6,Riverine,21632.0,3,-0.3735627820027421,0,5,1.830769230769231
284,38.69528,-75.77178,38.69528,-75.77178,Irene,MD,Caroline County,14947,"HWM-MD-FB-LB-1; wash line on upstream left overbank, approximately 300 ft upstream of bridge; wooden hub and flagging",6.5310000000000015,0.0,Riverine,21632.0,0,-1.5084876938762704,0,0,1.830769230769231
